numberOneAfterAnother,identifierForm,perelikDodatkiv,nameForm,documetRegulates,typePayer,termPresentation,accountingPeriod
72,J0500111,"J0510111, J0510211, J0510311, J0510411, J0510511, J0510611","Податковий розрахунок сум доходу, нарахованого (сплаченого) на користь платників податків - фізичних осіб, і сум утриманого з них податку, а також сум нарахованого єдиного внеску для податкових агентів, крім фізичних осіб-підприємців та/або осіб, які провадять незалежну професійну діяльність (проєкт для розробників)","Наказ Міністерства фінансів України від 2015-01-13 № 4, зареєстрований в Міністерстві юстиції України 30 січня 2015 р. за № 111/26556 (у редакції наказу Міністерства фінансів України від 2026-05-07 № 243)",Ю,"щомісячно, протягом 20 календарних днів, що настають за останнім календарним днем звітного (податкового) місяця",місяць
73,J0500203,NULL,Звіт про використання книг обліку розрахункових операцій (розрахункових книжок),"Наказ Міністерства фінансів України від 2016-01-21 №13, зареєстрований в Міністерстві юстиції України 2016-02-11 за № 220/28350",Ю,"щомісячно, протягом 15 днів після закінчення звітного періоду",місяць
74,J0525002,NULL,Довідка про використані розрахункові книжки за ______ місяць __ року,"Наказ Міністерства фінансів України від 2016-01-21 №13, зареєстрований в Міністерстві юстиції України 2016-02-11 за № 220/28350",Ю,"щомісячно, протягом 15 днів після закінчення звітного періоду",місяць
75,J0500602,NULL,"ІНФОРМАЦІЯ суб'єктів господарювання, які провадять посередницьку діяльність, пов'язану з наданням послуг з оренди нерухомості (рієлтерів), про укладені за їх посередництвом цивільно-правові договори (угоди)","Наказ Міністерства фінансів України від 2017-05-13 № 497, зареєстрований в Міністерстві юстиції України 2017-06-08 за № 700/30568",Ю,щоквартально протягом 40 днів після звітного кварталу,"1-й, 2-й, 3-й квартал, рік"
76,J3001005,NULL,Повідомлення про прийняття працівника (домашнього працівника) на роботу/укладення гіг-контракту,"Постанова Кабінету Міністрів України від 17 червня 2015 року № 413 (із змінами, внесеними згідно з постановою Кабінету Міністрів України від 2025-02-21 р. № 184)",Ю,по мірі необхідності,місяць
77,F0100215,"F0121215, F0121415, F0121615, F0121815, F0121915, F0122215, F0122315, F0122415, F1360102","Податкова декларація про майновий стан і доходи (для громадянина; особи, яка заявляє право на податкову знижку; особа, яка провадить незалежну професійну діяльність / члени фермерського господарства; підприємця; особа, стосовно якої проведено реєстрацію припинення підприємницької або незалежної - професійної діяльності / втрачено статус члена фермерського господарства або закінчено термін дії договору про добровільну участь протягом звітного року / особа, яка виїжджає за кордон на постійне місце проживання)","Наказ Міністерства фінансів України від 2015-10-02 року № 859 (у редакції наказу Міністерства фінансів України від 2022-05-17 №143, зареєстрованого в Міністерстві юстиції України 2022-06-03 за № 593/37929) (зі змінами, внесеними наказом Міністерства фінансів України від 2025-07-01 № 331, зареєстрованого в Міністерстві юстиції України 2025-07-16 № 1087/44493)",Ф,"щорічно до 1 травня (для податкової знижки до 31 грудня) року наступного за звітним роком, щомісячно протягом 20 днів після закінчення звітного місяця",рік місяць
78,F0100415,"F0141915, F0142015, F0142115",Податкова декларація про майновий стан і доходи (довідкова),"Наказ Міністерства фінансів України від 2015-10-02 року № 859 (у редакції наказу Міністерства фінансів України від 2022-05-17 №143, зареєстрованого в Міністерстві юстиції України 2022-06-03 за № 593/37929) (зі змінами, внесеними наказом Міністерства фінансів України від 2025-07-01 № 331, зареєстрованого в Міністерстві юстиції України 2025-07-16 № 1087/44493)",Ф,з першого числа звітного місяця без обмеження граничного строку подання,місяць
79,F0100729,"F0171529, F0171729","Податкова декларація з податку на прибуток підприємств (з додатками) (для фізичних осіб-підприємців, у тому числі таких, які обрали спрощену систему оподаткування, або фізичних осіб, які провадять незалежну професійну діяльність)","Наказ Міністерства фінансів України від 2015-10-20 № 897 ""Про затвердження форми Податкової декларації з податку на прибуток підприємств"", зареєстрований в Міністерстві юстиції України 2015-11-11 за № 1415/27860, у редакції наказу Міністерства фінансів України від 2023-02-20 № 101 (із змінами, внесеними наказом Міністерства фінансів України від 2025-07-25 № 371)",Ф,"щоквартально протягом 40 днів, що настають за останнім календарним днем звітного (податкового) кварталу, півріччя, трьох кварталів квартали; протягом 60 днів, що настають за останнім календарним днем звітного (податкового) року","І квартал, півріччя, три квартали, рік"
80,F0100730,"F0171530, F0171730","Податкова декларація з податку на прибуток підприємств (з додатками) (для фізичних осіб-підприємців, у тому числі таких, які обрали спрощену систему оподаткування, або фізичних осіб, які провадять незалежну професійну діяльність) (проєкт для розробників)","Наказ Міністерства фінансів України від 2015-10-20 № 897 ""Про затвердження форми Податкової декларації з податку на прибуток підприємств"", зареєстрований в Міністерстві юстиції України 2015-11-11 за № 1415/27860, у редакції наказу Міністерства фінансів України від 2023-02-20 № 101 (із змінами, внесеними наказом Міністерства фінансів України від 2026-04-06 № 186)",Ф,"щоквартально протягом 40 днів, що настають за останнім календарним днем звітного (податкового) кварталу, півріччя, трьох кварталів квартали; протягом 60 днів, що настають за останнім календарним днем звітного (податкового) року","І квартал, півріччя, три квартали, рік"
81,F0102003,F0102103,Заява про застосування спрощеної системи оподаткування,"Наказ Міністерства фінансів України від 2019-07-16 № 308, зареєстрованого в Міністерстві юстиції України 2019-09-24 за № 1054/3425",Ф,місяць без терміна подання,місяць
82,F0102004,F0102104,Заява про застосування спрощеної системи оподаткування (проєкт для розробників),"Наказ Міністерства фінансів України від 2019-07-16 № 308, зареєстрованого в Міністерстві юстиції України 2019-09-24 за № 1054/34025 (у редакції наказу Міністерства фінансів України від 2024-09-11 № 440, зареєстрованого в Міністерстві юстиції України 2024-09-25 за № 1443/42788)",Ф,місяць без терміна подання,місяць
83,F0103407,"F0134107, F0134207","Податкова декларація платника єдиного податку – фізичної особи - підприємця (1, 2 група - річна)","Наказ Міністерства фінансів України 2015-06-19 року № 578, зареєстрований у Міністерстві юстиції України 2015-07-07 за № 799/27244 (із змінами, внесеними наказом Міністерства фінансів України від 2025-01-31 року № 57, зареєстрованого в Міністерстві юстиції України 2025-02-14 за № 232/43638)",Ф,"протягом 60 календарних днів, що настають за останнім календарним днем звітного (податкового) року, а також за податковий (звітний) період місяць з першого числа такого місяця без обмеження граничного строку подання",рік
84,F0103309,"F0133109, F0133209",Податкова декларація платника єдиного податку – фізичної особи - підприємця (3 група - квартальна),"Наказ Міністерства фінансів України 2015-06-19 року № 578, зареєстрований у Міністерстві юстиції України 2015-07-07 за № 799/27244 (із змінами, внесеними наказом Міністерства фінансів України від 2025-01-31 року № 57, зареєстрованого в Міністерстві юстиції України 2025-02-14 за № 232/43638)",Ф,"протягом 40 календарних днів, що настають за останнім календарним днем звітного (податкового) періоду, а також за податковий (звітний) період місяць з першого числа такого місяця без обмеження граничного строку подання","І квартал, півріччя, три квартали, рік"
85,F0103203,"F0132103, F0132203","Податкова декларація платника єдиного податку третьої групи на період дії воєнного, надзвичайного стану в Україні","Наказ Міністерства фінансів України від 2022-04-26 № 124, зареєстрований в Міністерстві юстиції України 2022-05-05 за № 495/37831",Ф,"щомісячно протягом 20 днів, наступних за звітним місяцем",місяць
86,F0103806,"F0138106, F0138206, F0138306",Податкова декларація платника єдиного податку четвертої групи,"Наказ Міністерства фінансів України від 2015-06-19 № 578, зареєстрованим у Міністерстві юстиції України 2015-07-07 за № 799/27244 (із змінами, внесеними наказом Міністерства фінансів України від 2025-01-31 № 57, зареєстрований в Міністерстві юстиції України 2025-02-14 № 232/43638)",Ф,рік не пізніше 20 лютого року наступного за звітним; місяць з першого числа без обмеження граничного строку подання,рік; місяць
87,F0108601,NULL,Скорочений звіт про контрольовані іноземні компанії,"Наказ Міністерства фінансів України від 2022-08-25 № 254, зареєстрований у Міністерстві юстиції України 2022-10-11 за № 1219/38555",Ф,щорічно до 1 травня,рік
88,F0108701,"F0187101, F0187201, F0187301, F1360102",Звіт про контрольовані іноземні компанії,"Наказ Міністерства фінансів України від 2022-08-25 № 254, зареєстрований у Міністерстві юстиції України 2022-10-11 за № 1219/38555",Ф,"щорічно протягом 60 календарних днів, що настають за останнім календарним днем звітного (податкового) періоду",рік
89,F0200126,"F0200426, F0215226, F0299826, F0299326, F0215726, F0215826",Податкова декларація з податку на додану вартість,"Наказ Міністерства фінансів України від 2024-08-09 № 400, зареєстрований в Міністерстві юстиції України 2024-08-26 за № 1302/42647 (із змінами, внесеними наказом Міністерства фінансів України від 2024-08-28 № 418)",Ф,"щомісячно протягом 20 днів, наступних за звітним місяцем",місяць
90,F0215401,NULL,"Повідомлення про зміни реквізитів рахунку платника податків, зазначеного в раніше поданій заяві про повернення суми бюджетного відшкодування (Д4) (додаток 4), на який платник податків виявив бажання отримати бюджетне відшкодування, що відбулись в особи, яка виключена з реєстру платників податку на додану вартість","наказ Міністерства фінансів України від 2020-12-02 № 734, зареєстрованого в Міністерстві юстиції України 2021-01-26 за № 100/35722",Ф,місяць без терміна подання,місяць
91,F0215526,NULL,"Розрахунок податкових зобов’язань, нарахованих отримувачем послуг, не зареєстрованим як платник податку на додану вартість, які постачаються нерезидентами, у тому числі їх постійними представництвами, не зареєстрованими платниками податків, на митній території України","Наказ Міністерства фінансів України від 2024-08-09 № 400, зареєстрований в Міністерстві юстиції України 2024-08-26 за № 1302/42647 (із змінами, внесеними наказом Міністерства фінансів України від 2024-08-28 № 418)",Ф,"щомісячно протягом 20 днів, наступних за звітним місяцем",місяць
92,F0217026,NULL,Уточнюючий розрахунок податкових зобов’язань з податку на додану вартість у зв’язку з виправленням самостійно виявлених помилок,"Наказ Міністерства фінансів України від 2024-08-09 № 400, зареєстрований в Міністерстві юстиції України 2024-08-26 за № 1302/42647 (із змінами, внесеними наказом Міністерства фінансів України від 2024-08-28 № 418)",Ф,до початку перевірки податковим органом,місяць (подання)
93,F0299103,NULL,"Інформаційне підтвердження придбання товарів, робіт і послуг у пільговому режимі за кошти міжнародної технічної допомоги за проектом (програмою), Додаток 8 до ""Порядку залучення, використання та моніторингу міжнародної технічної допомоги""","Постанова Кабінету Міністрів України вiд 15 лютого 2002 № 153 із змінами, внесеними постановами Кабінету Міністрів України вiд 04 грудня 2019 року № 1072, від 09 жовтня 2020 року № 942.",Ф,"щомісячно протягом 20 днів, наступних за звітним місяцем",місяць
94,F0299203,NULL,"Інформаційне підтвердження придбання товарів, робіт і послуг у пільговому режимі за кошти міжнародної технічної допомоги за проектом (програмою) в рамках проведення операцій, пов'язаних із виконанням робіт з підготовки до зняття і зняття енергоблоків Чорнобильської АЕС з експлуатації та перетворення об'єкта ""Укриття"" на екологічно безпечну систему, що придбаваються за кошти міжнародної технічної допомоги у пільговому режимі оподаткування, Додаток 9 до ""Порядку залучення, використання та моніторингу міжнародної технічної допомоги""","Постанова Кабінету Міністрів України вiд 15 лютого 2002 № 153 із змінами, внесеними постановами Кабінету Міністрів України вiд 04 грудня 2019 року № 1072, від 09 жовтня 2020 року № 942.",Ф,"щомісячно протягом 20 днів, наступних за звітним місяцем",місяць
95,F0206410,NULL,"Звіт № 1-ВП про залишки та обсяги виробництва та/або обігу (в тому числі ввезення на митну територію України, вивезення за межі митної території України) спирту етилового, спиртових дистилятів, біоетанолу, алкогольних напоїв, тютюнових виробів, рідин, що використовуються в електронних сигаретах, про залишки та обсяги придбання і використання тютюнової сировини, про обсяг (вагу) придбаної неферментованої тютюнової сировини, обсяг (вагу) виробленої ферментованої тютюнової сировини, обсяг (вагу) реалізованої ферментованої тютюнової сировини, обсяг (вагу) залишків неферментованої та ферментованої тютюнової сировини на кінець звітного періоду, про залишки та обсяг вирощування тютюну і реалізації тютюнової сировини, посівну площу","Наказ Міністерства фінансів України від 2025-12-22 № 641, зареєстрований в Міністерстві юстиції України 2026-01-02 за №3/45397 (із змінами, внесеними наказом Міністерства фінансів України від 2026-01-08 № 18)",Ф,"щомісячно до 10 числа місяця, що настає за звітним; не пізніше 20 числа місяця, наступного за звiтним роком",місяць рік
96,F0216410,NULL,"Звіт № 1-ВП про залишки та обсяги виробництва та/або обігу (в тому числі ввезення на митну територію України, вивезення за межі митної території України) спирту етилового, спиртових дистилятів, біоетанолу, алкогольних напоїв, тютюнових виробів, рідин, що використовуються в електронних сигаретах, про залишки та обсяги придбання і використання тютюнової сировини, про обсяг (вагу) придбаної неферментованої тютюнової сировини, обсяг (вагу) виробленої ферментованої тютюнової сировини, обсяг (вагу) реалізованої ферментованої тютюнової сировини, обсяг (вагу) залишків неферментованої та ферментованої тютюнової сировини на кінець звітного періоду, про залишки та обсяг вирощування тютюну і реалізації тютюнової сировини, посівну площу (не пізніше 01 лютого)","Наказ Міністерства фінансів України від 2025-12-22 № 641, зареєстрований в Міністерстві юстиції України 2026-01-02 за №3/45397 (із змінами, внесеними наказом Міністерства фінансів України від 2026-01-08 № 18)",Ф,"не пізніше 01 лютого року, наступного за звiтним роком",рік
97,F0206510,NULL,"Звіт № 1-ОП про залишки та обсяги обігу (в тому числі ввезення на митну територію України, вивезення за межі митної території України) спирту етилового, спиртових дистилятів, біоетанолу, алкогольних напоїв, тютюнових виробів, тютюнової сировини (у тому числі ферментованої тютюнової сировини), рідин, що використовуються в електронних сигаретах","Наказ Міністерства фінансів України від 2025-12-22 № 641, зареєстрований в Міністерстві юстиції України 2026-01-02 за №3/45397 (із змінами, внесеними наказом Міністерства фінансів України від 2026-01-08 № 18)",Ф,"не пізніше 10 числа місяця, наступного за звітним місяцем",місяць
98,F0206706,NULL,Довідка про прогнозований обсяг потреби в спирті етиловому для виготовлення окремих видів продукції,"Наказ Міністерства фінансів України від 2022-08-25 № 255, зареєстрований в Міністерстві юстиції України 2022-09-09 за № 1035/38371",Ф,при поданні авальованого податкового векселя,місяць
99,F0206806,NULL,Довідка про цільове використання спирту етилового,"Наказ Міністерства фінансів України від 2022-08-25 № 255, зареєстрований в Міністерстві юстиції України 2022-09-09 за № 1035/38371",Ф,"протягом терміну, на який видано авальований податковий вексель, але не більше 90 днів",місяць
100,F0209514,"F0295014, F0298414, F0298514, F0298614, F0298814, F0295114, F0295214, F0295314, F0295414, F0295614, F0298714, F0295714, F0295814, F0295914, F0296014, F0298114, F0298214, F0298314",Декларація з акцизного податку,"Наказ Міністерства фінансів України від 2015-01-23 № 14, зареєстрований у Міністерстві юстиції України 2015-01-30 за № 105/26550 (із змінами, які внесені наказами Міністерства фінансів України від 2024-11-07 № 567, від 2025-06-05 № 291, від 2025-06-24 року № 319)",Ф,"щомісячно протягом 20 днів місяця, наступного за звітним",місяць
101,F0208905,NULL,Декларація про максимальні роздрібні ціни на підакцизні товари (продукцію) (дата запровадження з 1 числа місяця),"Наказ Міністерства фінансів України від 2015-03-25 № 359, зареєстрованого в Міністерстві юстиції України 2015-04-14 за № 413/26858 (у редакції наказу Міністерства фінансів України від 2021-04-15 № 218), із змінами внесеними наказом Міністерства фінансів України від 2024-09-09 № 433, зареєстрованого в Міністерстві юстиції України 2024-09-24 за № 1439/42784",Ф,"щомісячно не пізніше ніж 25 числа місця, що передує місяцю запровадження ціни",місяць (запровадження ціни)
102,F0207705,NULL,Декларація про максимальні роздрібні ціни на підакцизні товари (продукцію) (дата запровадження з 15 числа місяця),"Наказ Міністерства фінансів України від 2015-03-25 № 359, зареєстрованого в Міністерстві юстиції України 2015-04-14 за № 413/26858 (у редакції наказу Міністерства фінансів України від 2021-04-15 № 218), із змінами внесеними наказом Міністерства фінансів України від 2024-09-09 № 433, зареєстрованого в Міністерстві юстиції України 2024-09-24 за № 1439/42784",Ф,щомісячно не пізніше ніж 10 число місця запровадження ціни,місяць
103,F0210904,NULL,Заявка на поповнення (коригування) залишку пального,"Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ф,місяць без терміна подання,місяць
104,F0209903,NULL,Заявка на поповнення (коригування) залишку спирту етилового,"Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ф,місяць без терміна подання,місяць
105,F1203203,NULL,"Акцизна накладна форми ""П""","Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ф,"не пізніше 15 календарних днів наступних за датою їх складання, з урахуванням термінів, які визначені п. 231.6 ст. 231 Податкового кодексу",місяць
106,F1203303,NULL,"Розрахунок коригування акцизної накладної форми ""П""","Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ф,"не пізніше 15 календарних днів наступних за датою їх складання, з урахуванням термінів, які визначені п. 231.6 ст. 231 Податкового кодексу",місяць
107,F1203403,NULL,"Акцизна накладна форми ""С""","Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ф,"не пізніше 15 календарних днів наступних за датою їх складання, з урахуванням термінів, які визначені п. 231.6 ст. 231 Податкового кодексу",місяць
108,F1203503,NULL,"Розрахунок коригування акцизної накладної форми ""С""","Наказ Міністерства фінансів України від 2020-11-27 № 729, зареєстрований у Міністерстві юстиції України 2020-12-14 за № 1241/35524 (зі змінами внесеними наказом Міністерства фінансів України від 2023-02-01 № 55, зареєстрованим у Міністерстві юстиції України 2023-03-21 за № 480/39536)",Ф,"не пізніше 15 календарних днів наступних за датою їх складання, з урахуванням термінів, які визначені п. 231.6 ст. 231 Податкового кодексу",місяць
109,F0210301,NULL,"Довідка про розпорядника акцизного складу пального, акцизні склади пального, розташовані на них резервуари пального, витратоміри та рівнеміри","Наказ Мiнiстерства фiнансiв України вiд 2019-06-18 № 248, зареєстрований в Міністерстві юстиції України 27 червня 2019 р. за № 676/33647",Ф,відповідно до вимог наказу Міністерства фінансів України від 27 листопада 2018 року № 944 ( у редакції наказу Міністерства фінансів України від 18 червня 2019 року № 248),місяць
110,F0210401,NULL,Довідка про зведені за добу підсумкові облікові дані щодо обсягів обігу (отримання/відпуску) та залишків пального на акцизному складі пального,"Наказ Мiнiстерства фiнансiв України вiд 2019-06-18 № 248, зареєстрований в Міністерстві юстиції України 27 червня 2019 р. за № 676/33647",Ф,відповідно до вимог наказу Міністерства фінансів України від 27 листопада 2018 року № 944 ( у редакції наказу Міністерства фінансів України від 18 червня 2019 року № 248),місяць
111,F0210501,NULL,Акт інвентаризації обсягів залишку спирту етилового станом на початок дня 01 липня 2019 року,"Наказ Міністерства фінансів України від 2019-07-09 № 291 ""Про затвердження форми акта проведення інвентаризації обсягів залишку спирту етилового, Порядку його заповнення та подання""",Ф,до 2019-07-22 включно,місяць
112,F0210602,NULL,Довідка про витратоміри-лічильники обсягу виробленого спирту етилового та/або обсягу виробленої продукції,"Наказ Міністерства фінансів України від 2021-01-27 № 43, зареєстрований в Міністерстві юстиції України 2021-04-01 за № 425/36047",Ф,NULL,NULL
113,F0210702,NULL,Довідка про зведені за добу підсумкові облікові дані щодо обсягів обігу (отримання/відпуску) та залишків спирту на акцизному складі виробника спирту та/або виробника окремих видів продукції,"Наказ Міністерства фінансів України від 2021-01-27 № 43, зареєстрований в Міністерстві юстиції України 2021-04-01 за № 425/36047",Ф,NULL,NULL
114,F0211001,NULL,"Звіт про обсяги імпорту неферментованої (непереробленої) тютюнової сировини, обсяги придбаної тютюнової сировини в осіб, які виробляють тютюнову сировину на митній території України, обсяги виробництва, реалізації виробникам тютюнових виробів та експорту ферментованої (переробленої) тютюнової сировини","Наказ Міністерства фінансів України від 2022-09-07 № 271, зареєстрованого у Міністерстві юстиції України 2022-09-29 за № 1144/38480",Ф,"щомісячно протягом 20 днів, наступних за звітним місяцем",місяць
115,F0301209,F0311209,Податкова декларація збору за місця для паркування транспортних засобів,"Наказ Міністерства фінансів України від 2015-07-09 № 636, зареєстрованого в Міністерстві юстиції України 2015-07-29 за № 912/27357 (у редакції наказу Міністерства фінансів України від 2023-10-06 № 528, зареєстрованого у Міністерстві юстиції 2023-10-20 за № 1841/40897)",Ф,"протягом 40 календарних днів, що настають за останнім календарним днем звітного (податкового) кварталу","квартал, півріччя. 9-місяців, рік"
116,F0302006,"F0320106, F0320206, F0320306, F0320406, F0320506, F0320606",Податкова декларація екологічного податку,"Наказ Міністерства фінансів України від 2015-08-17 № 715, зареєстрований у Міністерстві юстиції України 2015-09-03 за № 1052/27497 (зі змінами, внесеними наказом Міністерства фінансів України від 2023-09-07 № 488, зареєстрованим у Міністерстві юстиції України 2023-09-25 за № 1666/40722)",Ф,щоквартально протягом 40 днів після звітного кварталу,"1-й, 2-й, 3-й та 4-й квартал"
117,F0303507,F0313507,Податкова декларація з туристичного збору,"Наказ Міністерства фінансів України від 2015-07-09 № 636, зареєстрований в Міністерстві юстиції України 2015-07-29 за № 912/27357 (у редакції наказу Міністерства фінансів України від 2023-09-20 № 506, зареєстрованого в Міністерстві юстиції України 2023-10-04 за №1742/40798)",Ф,щоквартально протягом 40 днів після звітного кварталу,"1-й, 2-й, 3-й та 4-й квартал"
118,F0500110,"F0510110, F0510410, F0510510, F0510610","Податковий розрахунок сум доходу, нарахованого (сплаченого) на користь платників податків - фізичних осіб, і сум утриманого з них податку, а також сум нарахованого єдиного внеску","Наказ Міністерства фінансів України від 2015-01-13 № 4, зареєстрований в Міністерстві юстиції України 30 січня 2015 р. за № 111/26556 (із змінами)",Ф,"щомісячно, протягом 20 календарних днів, що настають за останнім календарним днем звітного (податкового) місяця",місяць
119,F0500111,"F0510111, F0510411, F0510511, F0510611","Податковий розрахунок сум доходу, нарахованого (сплаченого) на користь платників податків - фізичних осіб, і сум утриманого з них податку, а також сум нарахованого єдиного внеску для податкових агентів, які є фізичними осібами-підприємцями та/або осібами, які провадять незалежну професійну діяльність (проєкт для розробників)","Наказ Міністерства фінансів України від 2026-05-07 № 243, зареєстрований в Міністерстві юстиції України 26 травня 2026 р. за № 751/46145.2026 (із змінами, внесеними наказом Міністерства фінансів України від 2026-05-26 № 284)",Ф,щоквартально протягом 40 днів після звітного кварталу,"1-й, 2-й, 3-й та 4-й квартал"
120,F0500203,NULL,Звіт про використання книг обліку розрахункових операцій (розрахункових книжок),"Наказ Міністерства фінансів України від 2016-01-21 №13, зареєстрований в Міністерстві юстиції України 2016-02-11 за № 220/28350",Ф,"щомісячно, протягом 15 днів після закінчення звітного періоду",місяць
121,F0525002,NULL,Довідка про використані розрахункові книжки за ______ місяць __ року,"Наказ Міністерства фінансів України від 2016-01-21 №13, зареєстрований в Міністерстві юстиції України 2016-02-11 за № 220/28350",Ф,"щомісячно, протягом 15 днів після закінчення звітного періоду",місяць
122,F0500602,NULL,"ІНФОРМАЦІЯ суб'єктів господарювання, які провадять посередницьку діяльність, пов'язану з наданням послуг з оренди нерухомості (рієлтерів), про укладені за їх посередництвом цивільно-правові договори (угоди)","Наказ Міністерства фінансів України від 2017-05-13 № 497, зареєстрований в Міністерстві юстиції України 2017-06-08 за № 700/30568",Ф,щоквартально протягом 40 днів після звітного кварталу,"1-й, 2-й, 3-й квартал, рік"
123,F0600502,NULL,Звiт про використання води. Форма N 2-ТП (Водгосп),"Наказ Міністерства екології та природних ресурсів України від 2015-03-16 № 78, зареєстрований в Міністерстві юстиції України 03 квітня 2015 р. за N 382/26827",Ф,в термін до 40 днів після ІV кварталу,рік
124,F0602008,NULL,Податкова декларація з плати за землю (земельний податок та/або орендна плата за земельні ділянки державної або комунальної власності),"наказ Мiнiстерства фiнансiв України вiд 2015-06-16 № 560 зі змінами, внесеними наказом Мiнiстерства фiнансiв України вiд 2023-09-26 № 520, зареєстрованим в Мiнiстерствi юстицiї України 2023-10-10 за №1771/40827",Ф,"не пізніше 20 лютого, в терміни подання місячної звітності","рік, місяць"
125,F0800108,"F0810108, F0810208, F0810308, F0810508, F0810608, F0810708, F0810808, F0810908",Податкова декларація з рентної плати (квартальна),"Наказ Міністерства фінансів України від 2023-09-07 № 487, зареєстрованого в Міністерстві юстиції України 2023-09-21 за № 1665/40721",Ф,щоквартально протягом 40 днів після звітного кварталу,"1-й, 2-й, 3-й та 4-й квартал"
126,F0800207,"F0820207, F0820407, F0821007, F0821107",Податкова декларація з рентної плати (місячна ),"Наказ Міністерства фінансів України від 2023-09-07 № 487, зареєстрованого в Міністерстві юстиції України 2023-09-21 за № 1665/40721",Ф,"щомісячно до 20 числа місяця, наступного за звітним",місяць
127,F1201016,"F1201116, F1201216",Податкова накладна,"Наказ Міністерства фінансів України від 2015-12-31 № 1307 (із змінами, внесеними наказом Міністерства фінансів України від 2024-08-09 № 400)",Ф,"не пізніше 15 календарних днів наступних за датою їх складання. На період дії воєнного стану граничні строки реєстрації ПН/РК в ЄРПН визначено п.89 підрозд.2 розд. XX ""Перехідні положення"" ПКУ",місяць
128,F1211001,"F1211101, F1211201","Податкова накладна (складена за операціями з вивезення за межі митної території України товарів, до яких застосовано режим експортного забезпечення)","Наказ Міністерства фінансів України від 2015-12-31 № 1307 (із змінами, внесеними наказом Міністерства фінансів України від 2024-08-09 № 400)",Ф,"не пізніше 15 календарних днів наступних за датою їх складання. На період дії воєнного стану граничні строки реєстрації ПН/РК в ЄРПН визначено п.89 підрозд.2 розд. XX ""Перехідні положення"" ПКУ",місяць
129,F1204101,NULL,Товарно-транспортна накладна на переміщення спирту етилового,"Наказ Міністерства транспорту та зв'язку України від 2005-04-28 № 154, зареєстрований в Міністерстві юстиції України 2005-07-28 за № 817/11097 із змінами і доповненнями, внесеними наказом Міністерства інфраструктури України від 2013-09-02 № 657",Ф,по мірі необхідності,місяць
130,F1204201,NULL,Товарно-транспортна накладна на переміщення алкогольних напоїв,"Наказ Міністерства транспорту та зв'язку України від 2005-04-28 № 154, зареєстрований в Міністерстві юстиції України 2005-07-28 за № 817/11097 із змінами і доповненнями, внесеними наказом Міністерства інфраструктури України від 2013-09-02 № 657",Ф,по мірі необхідності,місяць
131,F3001005,NULL,Повідомлення про прийняття працівника (домашнього працівника) на роботу/укладення гіг-контракту,"Постанова Кабінету Міністрів України від 17 червня 2015 року № 413(із змінами, внесеними згідно з постановою Кабінету Міністрів України від 2025-02-21 р. № 184)",Ф,по мірі необхідності,місяць
132,F3001101,NULL,Повідомлення про припинення трудового договору з домашнім працівником,"Постанова Кабінету Міністрів України від 17 червня 2015 року № 413 (із змінами, внесеними згідно з постановою Кабінету Міністрів України від 2024-08-23 р. № 967)",Ф,по мірі необхідності,місяць
133,J0900108,NULL,Баланс (Звіт про фінансовий стан),"Наказ Міністерства фінансів України від 2013-02-07 №73, зареєстрований у Міністерстві юстиції України 2013-02-28 №336/22868, iз змiнами вiд 2013-06-27 № 627",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
134,J0900207,NULL,Звіт про фінансові результати (Звіт про сукупний дохід),"Наказ Міністерства фінансів України від 2013-02-07 №73, зареєстрований у Міністерстві юстиції України 2013-02-28 №336/22868, iз змiнами вiд 2013-06-27 № 627",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
135,J0900904,NULL,Звіт про рух грошових коштів (за прямим методом),"Наказ Міністерства фінансів України від 2013-02-07 №73, зареєстрований у Міністерстві юстиції України 2013-02-28 №336/22868, iз змiнами вiд 2013-06-27 № 627",Ю,у терміни подання декларації з податку на прибуток,"І квартал, півріччя, три квартали, рік"
