numberOneAfterAnother,identifierForm,perelikDodatkiv,nameForm,documetRegulates,typePayer,termPresentation,accountingPeriod
33,J0206410,NULL,"Звіт № 1-ВП про залишки та обсяги виробництва та/або обігу (в тому числі ввезення на митну територію України, вивезення за межі митної території України) спирту етилового, спиртових дистилятів, біоетанолу, алкогольних напоїв, тютюнових виробів, рідин, що використовуються в електронних сигаретах, про залишки та обсяги придбання і використання тютюнової сировини, про обсяг (вагу) придбаної неферментованої тютюнової сировини, обсяг (вагу) виробленої ферментованої тютюнової сировини, обсяг (вагу) реалізованої ферментованої тютюнової сировини, обсяг (вагу) залишків неферментованої та ферментованої тютюнової сировини на кінець звітного періоду, про залишки та обсяг вирощування тютюну і реалізації тютюнової сировини, посівну площу","Наказ Міністерства фінансів України від 2025-12-22 № 641, зареєстрований в Міністерстві юстиції України 2026-01-02 за №3/45397 (із змінами, внесеними наказом Міністерства фінансів України від 2026-01-08 № 18)",Ю,"щомісячно до 10 числа місяця, що настає за звітним; не пізніше 20 числа місяця, наступного за звiтним роком",місяць рік
34,J0216410,NULL,"Звіт № 1-ВП про залишки та обсяги виробництва та/або обігу (в тому числі ввезення на митну територію України, вивезення за межі митної території України) спирту етилового, спиртових дистилятів, біоетанолу, алкогольних напоїв, тютюнових виробів, рідин, що використовуються в електронних сигаретах, про залишки та обсяги придбання і використання тютюнової сировини, про обсяг (вагу) придбаної неферментованої тютюнової сировини, обсяг (вагу) виробленої ферментованої тютюнової сировини, обсяг (вагу) реалізованої ферментованої тютюнової сировини, обсяг (вагу) залишків неферментованої та ферментованої тютюнової сировини на кінець звітного періоду, про залишки та обсяг вирощування тютюну і реалізації тютюнової сировини, посівну площу (не пізніше 01 лютого)","Наказ Міністерства фінансів України від 2025-12-22 № 641, зареєстрований в Міністерстві юстиції України 2026-01-02 за №3/45397 (із змінами, внесеними наказом Міністерства фінансів України від 2026-01-08 № 18)",Ю,"не пізніше 01 лютого року, наступного за звiтним роком",рік
35,J0206510,NULL,"Звіт № 1-ОП про залишки та обсяги обігу (в тому числі ввезення на митну територію України, вивезення за межі митної території України) спирту етилового, спиртових дистилятів, біоетанолу, алкогольних напоїв, тютюнових виробів, тютюнової сировини (у тому числі ферментованої тютюнової сировини), рідин, що використовуються в електронних сигаретах","Наказ Міністерства фінансів України від 2025-12-22 № 641, зареєстрований в Міністерстві юстиції України 2026-01-02 за №3/45397 (із змінами, внесеними наказом Міністерства фінансів України від 2026-01-08 № 18)",Ю,"не пізніше 10 числа місяця, наступного за звітним місяцем",місяць
36,J0206602,NULL,Розрахунок прогнозної потреби спирту,Наказ ДПА України від 2002-10-29 №515,Ю,щоквартально,"1-й, 2-й, 3-й та 4-й квартал"
37,J0206706,NULL,Довідка про прогнозований обсяг потреби в спирті етиловому для виготовлення окремих видів продукції,"Наказ Міністерства фінансів України від 2022-08-25 № 255, зареєстрований в Міністерстві юстиції України 2022-09-09 за № 1035/38371",Ю,при поданні авальованого податкового векселя,місяць
38,J0206806,NULL,Довідка про цільове використання спирту етилового,"Наказ Міністерства фінансів України від 2022-08-25 № 255, зареєстрований в Міністерстві юстиції України 2022-09-09 за № 1035/38371",Ю,"протягом терміну, на який видано авальований податковий вексель, але не більше 90 днів",місяць
39,J0207705,NULL,Декларація про максимальні роздрібні ціни на підакцизні товари (продукцію) (дата запровадження з 15 числа місяця),"Наказ Міністерства фінансів України від 2015-03-25 № 359, зареєстрованого в Міністерстві юстиції України 2015-04-14 за № 413/26858 (у редакції наказу Міністерства фінансів України від 2021-04-15 № 218), із змінами внесеними наказом Міністерства фінансів України від 2024-09-09 № 433, зареєстрованого в Міністерстві юстиції України 2024-09-24 за № 1439/42784",Ю,щомісячно не пізніше ніж 10 число місця запровадження ціни,місяць (запровадження ціни)
40,J0208602,NULL,Довідка про отримання спирту етилового,"Наказ ДПА України, МОЗ України від 2005-07-26 №230/377, зареєстрований у Міністерстві юстиції України України 2005-08-10 №877/11157 (у редакції Наказу ДПА України від 2006-05-04 №248/258)",Ю,в терміни місячної звітності,місяць
41,J0208905,NULL,Декларація про максимальні роздрібні ціни на підакцизні товари (продукцію) (дата запровадження з 1 числа місяця),"Наказ Міністерства фінансів України від 2015-03-25 № 359, зареєстрованого в Міністерстві юстиції України 2015-04-14 за № 413/26858 (у редакції наказу Міністерства фінансів України від 2021-04-15 № 218), із змінами внесеними наказом Міністерства фінансів України від 2024-09-09 № 433, зареєстрованого в Міністерстві юстиції України 2024-09-24 за № 1439/42784",Ю,"щомісячно не пізніше ніж 25 числа місця, що передує місяцю запровадження ціни",місяць (запровадження ціни)
42,J0209514,"J0295014, J0298414, J0298514, J0298614, J0298814, J0295114, J0295214, J0295314, J0295414, J0295614, J0298714, J0295714, J0295814, J0295914, J0296014, J0298114, J0298214, J0298314",Декларація з акцизного податку,"Наказ Міністерства фінансів України від 2015-01-23 № 14, зареєстрований у Міністерстві юстиції України 2015-01-30 за № 105/26550 (із змінами, які внесені наказами Міністерства фінансів України від 2024-11-07 № 567, від 2025-06-05 № 291, від 2025-06-24 року № 319)",Ю,"щомісячно протягом 20 днів місяця, наступного за звітним",місяць
