КОД КП ;КОД ЗКППТР ;ВИПУСК ЄТКД ;ВИПУСК ДКХП ;ПРОФЕСІЙНА НАЗВА РОБОТИ ;
7346 ;10003 ;47 ;  ;Авербандник ;
7232;;;;Авіаційний механік з планера та двигунів;
7241 ;10007 ;  ;68 ;Авіаційний механік з приладів та електроустаткування ;
7243 ;10008 ;  ;68 ;Авіаційний механік з радіоустаткування ;
7232 ;10010 ;  ;68 ;Авіаційний технік (механік) з парашутних та аварійно-рятувальних засобів ;
8155 ;  ;  ;68 ;Авіаційний технік з паливно-мастильних матеріалів ;
3115 ;  ;  ;68 ;Авіаційний технік з планера та двигунів ;
3115;;;;Авіаційний технік з приладів та електроустаткування;
3115;;;;Авіаційний технік з радіоустаткування;
8139 ;10014 ;44 ;  ;Автоклавник (виробництво скла та скловиробів) ;
8212 ;10014 ;  ;36 ;Автоклавник (виробництво теплоізоляційних матеріалів) ;
8154 ;10014 ;  ;11 ;Автоклавник (виробництво цитринової та виннокам'яної кислот) ;
8122 ;10015 ;  ;42 ;Автоклавник лиття під тиском ;
9311 ;10017 ;  ;5 ;Автоклавник на запарюванні брикетів ;
8152 ;10019 ;  ;45 ;Автоклавник-сушильник акумуляторних пластин у виробництві свинцевих акумуляторів ;
8224 ;10023 ;34 ;  ;Автоматник в'язальних автоматів ;
7311 ;10025 ;  ;51 ;Автоматник голково-платинних виробів ;
8211 ;10039 ;  ;45 ;Автоматник елементного виробництва ;
8240 ;10032 ;63 ;59 ;Автоматник з вироблення деталей клавішних інструментів ;
8143 ;10027 ;  ;17 ;Автоматник картонажного виробництва ;
8229 ;10028 ;  ;61 ;Автоматник клеїльних напівавтоматів ;
8290 ;10030 ;  ;44 ;Автоматник на вузлов'язальних та навивальних автоматах та верстатах ;
8211 ;10036 ;  ;52 ;Автоматник ремізних автоматів ;
8221 ;10038 ;  ;42 ;Автоматник холодновисаджувальних автоматів ;
8211 ;10021 ;  ;42 ;Автоматник ;
2451.2;;;;Автор промов;
2451.2;;;;Автор текстів (копірайтер);
7239 ;  ;  ;  ;Авторемонтник ;
5111 ;20010 ;  ;  ;Агент з доставки замовлених квитків ;
3422;;;;Агент з митного оформлення;
3413 ;- ;  ;1 ;Агент з нерухомості ;
5111 ;20019 ;  ;68 ;Агент з організації обслуговування авіаперевезень ;
4221 ;- ;  ;5*, 81 ;Агент з організації туризму ;
3422 ;20022 ;  ;66 ;Агент з передачі вантажу на прикордонній станції (пункті) ;
4131 ;20031 ;  ;1 ;Агент з постачання ;
5111 ;20025 ;  ;  ;Агент з приймання замовлень на квитки ;
4133 ;20028 ;  ;66,67 ;Агент з розшуку вантажів та багажу ;
3422 ;20014 ;- ;  ;Агент із замовлень населення на перевезення ;
3415 ;20004 ;  ;66,1 ;Агент комерційний;
3415 ;20007 ;  ;67 ;Агент морський ;
3429 ;  ;  ;  ;Агент податковий ;
3429 ;  ;  ;1 ;Агент рекламний ;
4133;;;;Агент станційний;
3412 ;20034 ;- ;  ;Агент страховий ;
3415 ;- ;- ;1 ;Агент торговельний ;
3415 ;20001 ;  ;1 ;Агент ;
8112 ;10041 ;  ;5 ;Агломератник ;
2213.2 ;20037 ;- ;  ;Агролісомеліоратор ;
2112.2 ;- ;  ;75 ;Агрометеоролог ;
2213.2 ;20041 ;  ;2 ;Агроном аеродрому ;
3212 ;20047 ;  ;2 ;Агроном відділення (бригади, сільськогосподарської дільниці, ферми, цеху) ;
2213.2 ;20053 ;  ;2 ;Агроном з насінництва ;
2213.2 ;20050 ;  ;2 ;Агроном із захисту рослин ;
2213.2 ;20040 ;  ;2 ;Агроном ;
2213.1 ;  ;  ;2 ;Агроном-дослідник ;
3212 ;  ;  ;  ;Агротехнік ;
2213.2 ;20056 ;  ;2 ;Агрохімік ;
2421.2 ;20059 ;- ;  ;Адвокат ;
3436;;;;Адміністративний помічник;
4222 ;20068 ;  ;65 ;Адміністратор (господар) залу ;
2419.3;;;;Адміністратор (органи державної влади та місцевого самоврядування);
2131.2 ;- ;- ;  ;Адміністратор бази даних ;
2139.2;;;;Адміністратор безпеки мереж і систем;
2131.2;;;;Адміністратор вебресурсів;
3121;;;;Адміністратор вебсайту;
2131.2 ;- ;- ;  ;Адміністратор даних ;
2131.2 ;- ;- ;  ;Адміністратор доступу (груповий) ;
2131.2 ;- ;- ;  ;Адміністратор доступу ;
2131.2 ;- ;- ;  ;Адміністратор задач ;
3429 ;20074 ;  ;82 ;Адміністратор знімальної групи ;
3429 ;20071 ;  ;82 ;Адміністратор кінотеатру ;
3422 ;  ;  ;67 ;Адміністратор пасажирської служби ;
4229;;;;Адміністратор програм радіо та телебачення;
2131.2 ;- ;- ;  ;Адміністратор системи ;
3429 ;20077 ;- ;  ;Адміністратор телевізійних передач ;
4222 ;20065 ;  ;87 ;Адміністратор черговий ;
4222 ;20062 ;  ;1 ;Адміністратор ;
9322 ;11143 ;44 ;  ;Аерографіст (виробництво скла та скловиробів) ;
9322 ;11143 ;59 ;  ;Аерографіст (поліграфічне виробництво) ;
7312 ;11145 ;  ;59 ;Аерографіст щипкових інструментів ;
7324 ;11147 ;45 ;  ;Аерографник ;
2111.2 ;  ;  ;  ;Аеродинамік ;
8290 ;11149 ;  ;68 ;Аеродромний робітник ;
7322 ;11151 ;44 ;  ;Аерозольник ;
2112.2 ;- ;  ;75 ;Аеролог ;
3131 ;20242 ;- ;  ;Аерофотогеодезист ;
2148.2 ;  ;  ;  ;Аерофотозйомник ;
1143.1 ;- ;- ;  ;Академік-секретар національної академії (наук, мистецтв і т. ін.) України ;
1143.3 ;  ;  ;  ;Академік-секретар ;
7311 ;10043 ;20 ;  ;Аквадувальник ;
8253 ;10045 ;59 ;  ;Акліматизатор ;
2453.2 ;20083 ;  ;84, 81 ;Акомпаніатор ;
2455.2 ;;  ;84,82 ;Актор (артист) театру, кіно та ін.;
3474 ;  ;  ;  ;Актор (артист) театру (кіно) (з дипломом фахового молодшого бакалавра);
2121.2 ;- ;- ;  ;Актуарій ;
7241 ;10047 ;  ;1 ;Акумуляторник ;
3232 ; ;  ;78 ;Акушерка (акушер);
7311 ;10049 ;20 ;  ;Алундувальник ;
8223 ;10053 ;  ;45 ;Алюмініювальник електротехнічних виробів ;
8223 ;10051 ;  ;42 ;Алюмініювальник ;
2441.2;;;;Аналітик (банківська діяльність);
2131.2;;;;Аналітик бізнесу (інформаційні системи);
2131.2 ;;;  ;Аналітик даних ;
2139.2;;;;Аналітик з безпеки інформаційно-комунікаційних систем;
2441.2 ;  ;  ;  ;Аналітик з інвестицій ;
2441.2 ;  ;  ;  ;Аналітик з кредитування ;
2452.2 ;  ;  ;  ;Аналітик з модельної діяльності ;
2139.2;;;;Аналітик з оцінки вразливостей;
2490;;;;Аналітик з оцінки ризиків, загроз та стану захищеності об’єктів критичної інфраструктури (за видами діяльності);
2414.2 ;  ;  ;  ;Аналітик з питань фінансово-економічної безпеки ;
2139.2;;;;Аналітик загроз безпеки;
2490;;;;Аналітик інформації з відкритих джерел;
2131.2 ;- ;- ;  ;Аналітик комп'ютерних систем ;
2149.2 ;  ;  ;  ;Аналітик комунікацій (крім комп'ютерів) ;
2433.2 ;  ;  ;  ;Аналітик консолідованої інформації ;
2131.2;;;;Аналітик мобільних додатків;
2131.2 ;  ;  ;  ;Аналітик програмного забезпечення ;
2131.2;;;;Аналітик продукту;
2131.2;;;;Аналітик процесів автоматизації;
2149.2 ;  ;  ;  ;Аналітик систем (крім комп'ютерів) ;
2139.2;;;;Аналітик систем захисту інформації;
2441.2;;;;Аналітик у сфері віртуальних активів;
2412.2 ;  ;  ;  ;Аналітик у сфері професійної зайнятості ;
7324 ;10056 ;  ;34 ;Ангобувальник санітарно-будівельних виробів ;
7324 ;10055 ;45 ;  ;Ангобувальник ;
8121 ;10058 ;  ;41 ;Андоник у виробництві алюмінію ;
2359.2 ;;;;Андрагог;
7243 ;10060 ;  ;70 ;Антенник-щогловик ;
8223 ;10062 ;  ;42 ;Антикорозійних ;
2442.1 ;  ;  ;  ;Антрополог ;
8211 ;10067 ;31 ;  ;Апаратник абсолютування ;
8154 ;10069 ;24 ;  ;Апаратник абсорбції ;
8154 ;10071 ;24 ;  ;Апаратник адсорбції ;
8159 ;10073 ;25 ;  ;Апаратник азотування ;
8154 ;10075 ;24 ;  ;Апаратник активації ;
8154 ;10077 ;24 ;  ;Апаратник алкілування ;
8154 ;10078 ;24 ;  ;Апаратник амінування ;
8154 ;10080 ;26 ;  ;Апаратник амонолізу ;
8264 ;10083 ;47 ;  ;Апаратник апретування ;
8232 ;10085 ;27 ;  ;Апаратник ацеталювання (виробництво синтетичних смол, пластмас та їх перероблення) ;
8154 ;10086 ;24 ;  ;Апаратник ацетилування ;
8154 ;10088 ;26 ;  ;Апаратник ацилювання ;
8159 ;10090 ;32 ;  ;Апаратник балансових установок ;
8264 ;10092 ;66 ;  ;Апаратник білизняних сушильних установок ;
8152 ;10094 ;30 ;  ;Апаратник бісульфатування ваніліну ;
8154 ;  ;  ;62 ;Апаратник блочної знесолюючої установки атомної електростанції ;
8273 ;10360 ;  ;11 ;Апаратник борошномельного виробництва ;
8154 ;10096 ;24 ;  ;Апаратник бромування ;
8232 ;10097 ;27 ;  ;Апаратник бучення ;
8152 ;10099 ;  ;8 ;Апаратник вакуум-апаратів ;
8159 ;10103 ;32 ;  ;Апаратник вакуум-приймачів ;
8221 ;10105 ;  ;11 ;Апаратник вакуум-сушильної установки ;
8122 ;10107 ;  ;40 ;Апаратник вакуум-термічної печі ;
8154 ;10101 ;24 ;  ;Апаратник вакуумування ;
8221 ;10972 ;  ;25 ;Апаратник варіння живильного середовища ;
8276 ;10114 ;  ;11 ;Апаратник варіння утфелю ;
8152 ;10113 ;24 ;  ;Апаратник варіння ;
8232 ;10457 ;27 ;  ;Апаратник вибілювання ;
8232 ;10261 ;29 ;  ;Апаратник виготовлення армованих пресувальних матеріалів ;
8224 ;10263 ;34 ;  ;Апаратник виготовлення баритмаси ;
8231 ;10273 ;33 ;  ;Апаратник виготовлення гумових ниток ;
8232 ;10267 ;29 ;  ;Апаратник виготовлення нетканих скловолокнистих матеріалів ;
8232 ;10269 ;27 ;  ;Апаратник виготовлення орієнтованої плівки ;
8232 ;10271 ;27 ;  ;Апаратник виготовлення плівкових матеріалів методом поливу ;
8232 ;10277 ;27 ;  ;Апаратник виготовлення термопасти ;
8121 ;10265 ;  ;41 ;Апаратник виготовлення штучного шеєліту ;
8159 ;10144 ;32 ;  ;Апаратник виділення ацетофенону ;
8159 ;10146 ;32 ;  ;Апаратник виділення карбінолу ;
8159 ;10148 ;32 ;  ;Апаратник виділення псевдобутилену ;
8159 ;10150 ;32 ;  ;Апаратник виділення сірки ;
8159 ;10151 ;32 ;  ;Апаратник виділення фтористого бору ;
8154 ;10168 ;24 ;  ;Апаратник вилуговування ;
8159 ;10259 ;25 ;  ;Апаратник вилучення побічних продуктів ;
8152 ;10412 ;24 ;  ;Апаратник випалювання;
8152 ;10295 ;24 ;  ;Апаратник випаровування ;
8152 ;10157 ;48 ;  ;Апаратник випарювальних апаратів для одержання рідкого продукту ;
8152 ;10158 ;48 ;  ;Апаратник випарювальних апаратів для одержання твердого продукту ;
8155 ;10296 ;  ;63 ;Апаратник випарювальної установки ;
8159 ;10155 ;25 ;  ;Апаратник випарювання та гранулювання ;
8152 ;10153 ;24 ;  ;Апаратник випарювання ;
8154 ;10749 ;25 ;  ;"Апаратник виробництва ""аеросили"" ";
8154 ;10737 ;25 ;  ;Апаратник виробництва АГ-солі ;
8154 ;10739 ;25 ;  ;Апаратник виробництва адипінової кислоти ;
8154 ;10741 ;25 ;  ;Апаратник виробництва адипонітрилу ;
8154 ;10743 ;26 ;  ;Апаратник виробництва азобарвників ;
8271 ;10745 ;  ;8 ;Апаратник виробництва альбуміну ;
8159 ;10747 ;25 ;  ;Апаратник виробництва аміачної селітри ;
8232 ;10751 ;  ;16 ;Апаратник виробництва бакелітової плівки ;
8221 ;10753 ;  ;25 ;Апаратник виробництва бактерійних препаратів ;
8154 ;10796 ;26 ;  ;Апаратник виробництва барвників для хутра ;
8154 ;10755 ;25 ;  ;Апаратник виробництва бертолетової солі ;
8154 ;10757 ;25 ;  ;Апаратник виробництва борної кислоти ;
8271 ;10758 ;  ;8 ;Апаратник виробництва бульйонних кубиків ;
8154 ;10865 ;25 ;  ;Апаратник виробництва гальмової рідини та антифризу ;
8221 ;10761 ;31 ;  ;Апаратник виробництва гематогену та медичної жовчі ;
8154 ;10763 ;25 ;  ;Апаратник виробництва гідросульфіту натрію ;
8112 ;10765 ;4 ;  ;Апаратник виробництва гірського воску ;
8154 ;10769 ;25 ;  ;Апаратник виробництва диметилтерефталату ;
8159 ;10773 ;  ;19 ;Апаратник виробництва дициклопентадієну ;
8154 ;10771 ;25 ;  ;Апаратник виробництва диціандіаміду ;
8154 ;10767 ;25 ;  ;Апаратник виробництва діоксиду хлору ;
8154 ;10775 ;25 ;  ;Апаратник виробництва жовтого фосфору ;
8272 ;10779 ;  ;8 ;Апаратник виробництва заквасок ;
8159 ;10780 ;  ;19 ;Апаратник виробництва індолу ;
8154 ;10782 ;  ;8 ;Апаратник виробництва казеїнового клею ;
8159 ;10784 ;25 ;  ;Апаратник виробництва калієвої селітри ;
8272 ;10786 ;  ;8 ;Апаратник виробництва кисломолочних та дитячих молочних продуктів ;
8154 ;10794 ;  ;8 ;Апаратник виробництва кісткового клею ;
8154 ;10788 ;25 ;  ;Апаратник виробництва контактної маси ;
8154 ;10790 ;25 ;  ;Апаратник виробництва контактної сірчаної кислоти ;
8152 ;10792 ;25 ;  ;Апаратник виробництва корунду ;
8154 ;10800 ;25 ;  ;Апаратник виробництва кремнійорганічних лаків ;
8159 ;10802 ;  ;19 ;Апаратник виробництва креоліну та лізолу ;
8154 ;10804 ;25 ;  ;Апаратник виробництва кріоліту ;
8154 ;10806 ;26 ;  ;Апаратник виробництва літопону ;
8159 ;10808 ;  ;19 ;Апаратник виробництва малотонажних продуктів ;
8271 ;10848 ;  ;8 ;Апаратник виробництва мастила ;
8278;;;;Апаратник виробництва медових напоїв та іншої продукції бджільництва;
8154 ;10812 ;25 ;  ;Апаратник виробництва металевого натрію ;
8154 ;10817 ;25 ;  ;Апаратник виробництва миш'яковистих солей ;
8154 ;10810 ;  ;8 ;Апаратник виробництва міздрового клею ;
8272 ;10814 ;  ;8 ;Апаратник виробництва молочного цукру ;
8154 ;10819 ;25 ;  ;Апаратник виробництва надперекису калію ;
8154 ;10821 ;25 ;  ;Апаратник виробництва нейтрального кремнегелю ;
8159 ;10823 ;25 ;  ;Апаратник виробництва нітрату та нітриту натрію ;
8159 ;10824 ;25 ;  ;Апаратник виробництва нітрофоски ;
8112 ;10826 ;4 ;  ;Апаратник виробництва озокериту та озокеритової продукції ;
8159 ;10828 ;  ;19 ;Апаратник виробництва піридинових основ ;
8272 ;10832 ;  ;8 ;Апаратник виробництва плавленого сиру ;
8232 ;10834 ;27 ;  ;Апаратник виробництва поліімідної плівки ;
8112 ;10836 ;4 ;  ;Апаратник виробництва реагентів ;
8159 ;10838 ;25 ;  ;Апаратник виробництва регенеративних речовин ;
8221 ;10275 ;31 ;  ;Апаратник виробництва рентгенівських екранів ;
8272 ;10777 ;  ;8 ;Апаратник виробництва рідкого замінника незбираного молока ;
8154 ;10840 ;24 ;  ;Апаратник виробництва світлосполук ;
8159 ;10816 ;25 ;  ;Апаратник виробництва сечовини ;
8154 ;10842 ;25 ;  ;Апаратник виробництва силікагелів ;
8154 ;10844 ;  ;8 ;Апаратник виробництва силікатного клею ;
8224 ;10846 ;34 ;  ;Апаратник виробництва синтетичних барвників ;
8154 ;10850 ;24 ;  ;Апаратник виробництва спектрально-чистих газів ;
8159 ;10852 ;25 ;  ;Апаратник виробництва сульфату амонію ;
8154 ;10854 ;25 ;  ;Апаратник виробництва сульфітних солей ;
8154 ;10855 ;25 ;  ;Апаратник виробництва сульфомасел та отрутохімікатів ;
8272 ;10857 ;  ;8 ;Апаратник виробництва сухих молочних продуктів ;
8154 ;10859 ;25 ;  ;Апаратник виробництва термічної фосфорної кислоти ;
8271 ;10861 ;  ;8 ;Апаратник виробництва технічної продукції ;
8272 ;10863 ;  ;8 ;Апаратник виробництва топленого масла ;
8154 ;10867 ;25 ;  ;Апаратник виробництва фенілметилуретилану ;
8221 ;10869 ;  ;25 ;Апаратник виробництва ферментів та плазмозамінних препаратів ;
8159 ;10871 ;  ;19 ;Апаратник виробництва формованого коксу ;
8154 ;10872 ;25 ;  ;Апаратник виробництва фоспору ;
8154 ;10874 ;25 ;  ;Апаратник виробництва фосфорних сполук ;
8154 ;10876 ;26 ;  ;Апаратник виробництва фталоціанінових барвників ;
8154 ;10878 ;25 ;  ;Апаратник виробництва фтористого натрію ;
8271 ;10830 ;  ;8 ;Апаратник виробництва харчових жирів ;
8154 ;10880 ;24 ;  ;Апаратник виробництва хімічних реактивів ;
8154 ;10882 ;25 ;  ;Апаратник виробництва хромових сполук ;
8154 ;10886 ;26 ;  ;Апаратник виробництва цинкового купоросу ;
8152 ;10887 ;26 ;  ;Апаратник виробництва цинкового пилу ;
8154 ;10884 ;25 ;  ;Апаратник виробництва ціанистих металів ;
8154 ;10798 ;25 ;  ;Апаратник виробництва червоного фосфору ;
8278 ;10889 ;  ;11 ;Апаратник виробництва шампанського ;
8278 ;10160 ;  ;11 ;Апаратник вирощування дріжджів ;
8232 ;10162 ;27 ;  ;Апаратник висадження ;
8152 ;10164 ;48 ;  ;Апаратник витоплення ;
8159 ;10166 ;28 ;  ;Апаратник витягання ;
8153 ;;;;Апаратник віджимання (спеціальні хімічні виробництва);
8153 ;10469 ;24 ;  ;Апаратник віджимання ;
8265 ;10471 ;48 ;  ;Апаратник відкочування ;
8272 ;10125 ;  ;8 ;Апаратник відновлення молока ;
8159 ;10127 ;20 ;  ;Апаратник відновлення напівпровідникових матеріалів ;
8154 ;10124 ;24 ;  ;Апаратник відновлення ;
8152 ;10465 ;25 ;  ;Апаратник відпалу кристалів корунду ;
8122 ;10467 ;  ;40 ;Апаратник відпалу хрому ;
8153 ;10479 ;24 ;  ;Апаратник відстоювання ;
8271 ;10116 ;  ;10 ;Апаратник вітамінізації жиру ;
8265 ;10118 ;48 ;  ;Апаратник водно-хімічного оброблення ;
8112 ;11036 ;  ;5 ;Апаратник вуглезбагачення ;
8231 ;10142 ;33 ;  ;Апаратник вулканізації ;
8154 ;10170 ;  ;8 ;Апаратник газового консервування ;
8159 ;10172 ;24 ;  ;Апаратник газогенерації ;
8159 ;10174 ;24 ;  ;Апаратник газорозділення ;
8154 ;10176 ;24 ;  ;Апаратник гашення вапна ;
8275 ;10178 ;  ;11 ;Апаратник гідратації (виробництво олії та жирів) ;
8154 ;10178 ;24 ;  ;Апаратник гідратації (хімічне виробництво) ;
8271 ;10183 ;  ;10 ;Апаратник гідролізу жиру й печінки ;
8275 ;10185 ;  ;11 ;Апаратник гідролізу крохмального молока ;
8154 ;10181 ;24 ;  ;Апаратник гідролізу ;
8159 ;10189 ;32 ;  ;Апаратник гідрохлорування ;
8154 ;10179 ;24 ;  ;Апаратник гідрування ;
8275 ;10191 ;  ;9 ;Апаратник гомогенізації (виробництво консервів) ;
8271 ;10191 ;52 ;  ;Апаратник гомогенізації (виробництво м'ясних продуктів) ;
8272 ;10193 ;  ;8 ;Апаратник гомогенізації молока ;
8232 ;10195 ;27 ;  ;Апаратник гомогенізації пластичних мас ;
8151 ;10967 ;26 ;  ;Апаратник готування емалей ;
8159;;;;Апаратник гранулювання (спеціальні хімічні виробництва);
8152 ;10197 ;24 ;  ;Апаратник гранулювання ;
8159 ;10199 ;32 ;  ;Апаратник деаерації ;
8154 ;10201 ;24 ;  ;Апаратник дегідратації ;
8154 ;10202 ;24 ;  ;Апаратник дегідрування ;
8275 ;10204 ;  ;11 ;Апаратник дезодорації ;
8221 ;10206 ;31 ;  ;Апаратник декарбоксилування ;
8154 ;10208 ;24 ;  ;Апаратник деполімеризації ;
8154 ;10210 ;24 ;  ;Апаратник десорбції ;
8232 ;10212 ;27 ;  ;Апаратник деструкції ;
8154 ;10213 ;25 ;  ;Апаратник десублімації ;
8276 ;10215 ;  ;11 ;Апаратник дефекосатурації бурякового соку ;
8159 ;10219 ;32 ;  ;Апаратник димеризації ;
8159 ;10222 ;32 ;  ;Апаратник диспергування лужних металів ;
8151 ;10221 ;26 ;  ;Апаратник диспергування пігментів і барвників ;
8159 ;10224 ;32 ;  ;Апаратник диспропорціонування ;
8275 ;10226 ;  ;7 ;Апаратник дифузії ;
8154 ;10217 ;24 ;  ;Апаратник діазотування ;
8154 ;10961 ;  ;8 ;Апаратник дозрівання оболонки ;
8232 ;10232 ;27 ;  ;Апаратник дозрівання ;
8151 ;10228 ;24 ;  ;Апаратник дозування ;
8265 ;10238 ;48 ;  ;Апаратник дублення (хутряне виробництво) ;
8265 ;10236 ;48 ;  ;Апаратник дублення (шкіряне та шкіросировинне виробництво) ;
8224 ;10234 ;34 ;  ;Апаратник дублення та сушіння білкової оболонки ;
8153 ;11104 ;48 ;  ;Апаратник екстрагування танідів ;
8154 ;11102 ;24 ;  ;Апаратник екстрагування ;
8154 ;11108 ;24 ;  ;Апаратник електролізу ;
8223 ;11110 ;  ;42 ;Апаратник електролітичного знежирення ;
8121 ;11112 ;  ;41 ;Апаратник електрохімічного виробництва танталу ;
8221 ;10240 ;31 ;  ;Апаратник енолізації ;
8275 ;11114 ;55 ;  ;Апаратник етаноламінової установки ;
8154 ;11116 ;24 ;  ;Апаратник етерифікації ;
8159 ;11117 ;28 ;  ;Апаратник етиленгліколевої установки ;
8224 ;10242 ;34 ;  ;Апаратник желатинування ;
8224 ;10245 ;34 ;  ;Апаратник жироочищення ;
8232 ;10532 ;  ;57 ;Апаратник з виготовлення клейової нитки ;
8278 ;10521 ;  ;11 ;Апаратник з вироблення оцту ;
8222 ;10649 ;  ;16 ;Апаратник з вироблення сухої сірникової соломки ;
8139 ;10534 ;  ;37 ;Апаратник з вироблення шліфувальної шкурки ;
8121 ;10643 ;  ;40 ;Апаратник з виробництва ванадію ;
8270 ;  ;  ;  ;Апаратник з виробництва олії та тваринних жирів ;
8154 ;10647 ;  ;16 ;Апаратник з виробництва синтетичних клеїльних смол ;
8159 ;10645 ;20 ;  ;Апаратник з виробництва та хімічного очищення напівпровідникових матеріалів ;
8159 ;10523 ;20 ;  ;Апаратник з вирощування монокристалів та стрічок ;
8159 ;10536 ;20 ;  ;Апаратник з кристалізації ;
8159 ;10625 ;25 ;  ;Апаратник з насмоктування діафрагм ;
8274 ;10629 ;55 ;  ;Апаратник з оброблення сирого пектину ;
8278 ;10627 ;  ;11 ;Апаратник з оброблення та купажування оцту ;
8163 ;10631 ;20 ;  ;Апаратник з обслуговування рекуператорів та системи охолодження ;
8159 ;10635 ;20 ;  ;Апаратник з одержання високочистих матеріалів для напівпровідникового виробництва ;
8154 ;10633 ;  ;45 ;Апаратник з окислення кадмію ;
8275 ;10639 ;  ;11 ;Апаратник з приготування майонезу ;
8151 ;10641 ;  ;62 ;Апаратник з приготування хімреагентів ;
8159 ;10653 ;20 ;  ;Апаратник з регенерації селену ;
8159 ;10655 ;20 ;  ;Апаратник з регенерації сірки ;
8121 ;10651 ;  ;41 ;Апаратник з розділення рідкоземельних елементів ;
8159 ;10661 ;20 ;  ;Апаратник з хімічного оброблення напівпровідникових матеріалів ;
8271 ;10249 ;  ;8 ;Апаратник заморожування ендокринно-ферментної сировини ;
8264 ;10253 ;47 ;  ;Апаратник запарювання відходів ;
8264 ;10251 ;47 ;  ;Апаратник запарювання ;
8232 ;10461 ;27 ;  ;Апаратник затвердіння ;
8112 ;10418 ;  ;5 ;Апаратник збагачення золотовмісних руд ;
8264 ;10109 ;47 ;  ;Апаратник звалювання виробів ;
8264 ;11034 ;47 ;  ;Апаратник зволоження ;
8272 ;10933 ;  ;8 ;Апаратник згущення молока та іншої молочної сировини ;
9311 ;10931 ;  ;5 ;Апаратник згущувачів ;
8151 ;10959 ;26 ;  ;Апаратник змішування барвників ;
8151 ;10957 ;24 ;  ;Апаратник змішування ;
8151 ;10955 ;26 ;  ;Апаратник змішувачів ;
8212 ;10398 ;  ;64 ;Апаратник зневоднення бітуму ;
8159 ;10396 ;28 ;  ;Апаратник зневоднення ;
8275 ;10404 ;  ;11 ;Апаратник знежирення сиропів ;
8265 ;10402 ;48 ;  ;Апаратник знежирення ;
8265 ;10407 ;48 ;  ;Апаратник знезолення, м'якшення ;
8153 ;10400 ;28 ;  ;Апаратник знеповітрювання та фільтрації ;
8154 ;10409 ;24 ;  ;Апаратник знесолювання води ;
8159 ;10410 ;  ;19 ;Апаратник знефенолування та знеспиридинування масел ;
8265 ;10255 ;48 ;  ;Апаратник зоління (шкіросировинне виробництво) ;
8224 ;10257 ;34 ;  ;Апаратник зоління ;
8159 ;10531 ;  ;19 ;Апаратник із завантаження пеку ;
8154 ;10657 ;25 ;  ;Апаратник із збирання та збагачення шламу ;
8154 ;10281 ;24 ;  ;Апаратник ізомеризації ;
8154 ;10283 ;25 ;  ;Апаратник імідування ;
8221 ;10289 ;31 ;  ;Апаратник іонного обміну ;
8154 ;10291 ;  ;11 ;Апаратник іонообмінного очищення гліцерину ;
8221 ;10293 ;  ;25 ;Апаратник іонообмінного очищення хіміко-фармацевтичних препаратів ;
8221 ;10287 ;  ;25 ;Апаратник йодування ;
8224 ;10298 ;34 ;  ;Апаратник калібрування ;
8121 ;10300 ;  ;41 ;Апаратник карбідизації ;
8154 ;10302 ;24 ;  ;Апаратник карбоксилування ;
8154 ;10304 ;24 ;  ;Апаратник карбонізації ;
8264 ;10306 ;47 ;  ;Апаратник каустифікації ;
8224 ;10308 ;34 ;  ;Апаратник кислотного оброблення спилка ;
8151 ;10310 ;24 ;  ;Апаратник коагуляції ;
8261 ;10312 ;47 ;  ;Апаратник коконозапарювальної машини ;
8273 ;10314 ;  ;11 ;Апаратник комбікормового виробництва ;
8159;;;;Апаратник комплексної установки (спеціальні хімічні виробництва);
8159 ;10318 ;25 ;  ;Апаратник конверсії ;
8152 ;10321 ;24 ;  ;Апаратник конденсації ;
8152 ;10324 ;28 ;  ;Апаратник контактного випарювання ;
8154 ;10323 ;25 ;  ;Апаратник контактування ;
8159 ;10327 ;25 ;  ;Апаратник концентрування кислот ;
8278 ;10329 ;  ;11 ;Апаратник коньячного виробництва ;
8154;;;;Апаратник кристалізації (спеціальні хімічні виробництва);
8159 ;10338 ;30 ;  ;Апаратник кристалізації та центрифугування ;
8154 ;10336 ;24 ;  ;Апаратник кристалізації ;
8275 ;10332 ;  ;11 ;Апаратник крохмального агрегата ;
8273 ;10340 ;  ;11 ;Апаратник круп'яного виробництва ;
8159 ;10342 ;28 ;  ;Апаратник ксантогенування ;
8151 ;11100 ;26 ;  ;Апаратник кульових млинів ;
8159 ;10348 ;28 ;  ;Апаратник лиття й рубання ;
8159 ;10346 ;  ;3 ;Апаратник лісохімічного устаткування ;
8159 ;11095 ;24 ;  ;Апаратник лускування ;
8159 ;10350 ;28 ;  ;Апаратник матування смоли ;
8264 ;10352 ;47 ;  ;Апаратник мерсеризації (виробництво текстилю) ;
8154 ;10352 ;24 ;  ;Апаратник мерсеризації (хімічне виробництво) ;
8154 ;10354 ;24 ;  ;Апаратник метоксилування ;
8221 ;10362 ;  ;11 ;Апаратник миловаріння ;
8153 ;10358 ;24 ;  ;Апаратник мокрої класифікації ;
8265 ;10363 ;48 ;  ;Апаратник м'якшення шкіряних напівфабрикатів та хутряних шкурок ;
8223 ;10367 ;  ;45 ;Апаратник на виготовленні мікропроводів у скляній ізоляції ;
8121 ;10371 ;  ;41 ;Апаратник на плазмових установках ;
